Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REQUEST_URI=/service.py
Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_PRAGMA=no-cache
Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_CACHE_CONTROL=no-cache
Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_USER_AGENT=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36
Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_UPGRADE=websocket
Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_ORIGIN=http://localhost:9393
Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_SEC_WEBSOCKET_VERSION=13
Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_ACCEPT_ENCODING=gzip, deflate, br
Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_SEC_WEBSOCKET_KEY=WVAz7YGiA50c0Ru8JG2iyA==
Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_SEC_WEBSOCKET_EXTENSIONS=permessage-deflate; client_max_window_bits
Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_ACCEPT_LANGUAGE=de-DE,de;q=0.9,en-US;q=0.8,en;q=0.7
Tue, 18 Jan 2022 18:09:59 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_CONNECTION=Upgrade
Tue, 18 Jan 2022 18:09:59 +0100 | ACCESS | session    | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' | CONNECT
Tue, 18 Jan 2022 18:13:49 +0100 | ACCESS | http       | url:'http://localhost:9393/' | STATIC
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | websocket  | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9035' | Cannot receive: websocket: close 1001 (going away)
Tue, 18 Jan 2022 18:13:49 +0100 | TRACE  | websocket  | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9035' | Terminated websocket connection
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: SERVER_SOFTWARE=websocketd/0.3.0 (go1.9.2 linux-amd64) --
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Parent envvar: PATH=/home/finkin/.local/bin:/home/finkin/.local/bin:/home/finkin/.local/bin:/home/finkin/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/opt/apache-tomcat-9.0.46/bin:/opt/apache-tomcat-9.0.46/bin
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REMOTE_ADDR=::1
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REMOTE_HOST=::1
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: SERVER_NAME=localhost
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: SERVER_PORT=9393
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: SERVER_PROTOCOL=HTTP/1.1
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: GATEWAY_INTERFACE=websocketd-CGI/0.1
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REQUEST_METHOD=GET
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: SCRIPT_NAME=/service.py
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: PATH_INFO=
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: PATH_TRANSLATED=/service.py
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: QUERY_STRING=
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: AUTH_TYPE=
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: CONTENT_LENGTH=
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: CONTENT_TYPE=
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REMOTE_IDENT=
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REMOTE_USER=
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: UNIQUE_ID=1642526029339033908
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REMOTE_PORT=42582
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REQUEST_URI=/service.py
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_USER_AGENT=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_ORIGIN=http://localhost:9393
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_SEC_WEBSOCKET_EXTENSIONS=permessage-deflate; client_max_window_bits
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_CACHE_CONTROL=no-cache
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_CONNECTION=Upgrade
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_PRAGMA=no-cache
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_UPGRADE=websocket
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_SEC_WEBSOCKET_VERSION=13
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_ACCEPT_ENCODING=gzip, deflate, br
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_ACCEPT_LANGUAGE=de-DE,de;q=0.9,en-US;q=0.8,en;q=0.7
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Header variable HTTP_SEC_WEBSOCKET_KEY=X4dC4D4IbYr6lIuh9Wc33A==
Tue, 18 Jan 2022 18:13:49 +0100 | ACCESS | session    | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' | CONNECT
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | process    | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9035' | Process STDERR closed
